ARO_accession	Name	Lineage	Drug_name	PubChem_ID	Protein_accession	DNA_accession	Organism	Tax_ID
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002572	AAC(6')-Iad	ARO:3002572=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	BAD12078.1	AB119105	Acinetobacter pittii	48296
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002593	AAC(6')-Ib-SK	ARO:3002593=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	BAD11815.1	AB164230	Streptomyces kanamyceticus	1967
ARO:3002868	dfrG	ARO:3002868@ARO:3000188#ARO:3000188	trimethoprim	5578	BAE15963.1	AB205645	Staphylococcus aureus	1280
ARO:3002895	SAT-1	ARO:3002895@ARO:0000012#ARO:0000012	streptothricin	475825	BAD95494.1	AB211124	Escherichia coli	562
ARO:3002735	QnrB20	ARO:3002735=ARO:3000419@ARO:0000036#ARO:0000036	ciprofloxacin	2764	BAG55487.1	AB379831	Escherichia coli	562
ARO:3002735	QnrB20	ARO:3002735=ARO:3000419@ARO:0000071#ARO:0000071	levofloxacin	149096	BAG55487.1	AB379831	Escherichia coli	562
ARO:3002735	QnrB20	ARO:3002735=ARO:3000419@ARO:0000074#ARO:0000074	moxifloxacin	152946	BAG55487.1	AB379831	Escherichia coli	562
ARO:3002735	QnrB20	ARO:3002735=ARO:3000419@ARO:3000659#ARO:3000659	gatifloxacin	5379	BAG55487.1	AB379831	Escherichia coli	562
ARO:3002735	QnrB20	ARO:3002735=ARO:3000419@ARO:3000661#ARO:3000661	nalidixic acid	4421	BAG55487.1	AB379831	Escherichia coli	562
ARO:3002735	QnrB20	ARO:3002735=ARO:3000419@ARO:3000662#ARO:3000662	norfloxacin	4539	BAG55487.1	AB379831	Escherichia coli	562
ARO:3002735	QnrB20	ARO:3002735=ARO:3000419@ARO:3000666#ARO:3000666	sparfloxacin	60464	BAG55487.1	AB379831	Escherichia coli	562
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3002574	AAC(6')-Iaf	ARO:3002574=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	BAH66386.1	AB462903	Pseudomonas aeruginosa	287
ARO:3003954	efmA	ARO:3003954@ARO:0000006#ARO:0000006	erythromycin	12560	BAG75524.1	AB467372.1	Enterococcus faecium	1352
ARO:3002874	FosC2	ARO:3002874=ARO:3004245@ARO:0000025#ARO:0000025	fosfomycin	73491	BAJ10053.1	AB522969	Escherichia coli	562
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3003677	AAC(6')-Iaj	ARO:3003677=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	BAM46120.1	AB709942	Pseudomonas aeruginosa	287
ARO:3002774	QnrB61	ARO:3002774=ARO:3000419@ARO:0000036#ARO:0000036	ciprofloxacin	2764	BAN04737.1	AB734053	Citrobacter braakii	57706
ARO:3002774	QnrB61	ARO:3002774=ARO:3000419@ARO:0000071#ARO:0000071	levofloxacin	149096	BAN04737.1	AB734053	Citrobacter braakii	57706
ARO:3002774	QnrB61	ARO:3002774=ARO:3000419@ARO:0000074#ARO:0000074	moxifloxacin	152946	BAN04737.1	AB734053	Citrobacter braakii	57706
ARO:3002774	QnrB61	ARO:3002774=ARO:3000419@ARO:3000659#ARO:3000659	gatifloxacin	5379	BAN04737.1	AB734053	Citrobacter braakii	57706
ARO:3002774	QnrB61	ARO:3002774=ARO:3000419@ARO:3000661#ARO:3000661	nalidixic acid	4421	BAN04737.1	AB734053	Citrobacter braakii	57706
ARO:3002774	QnrB61	ARO:3002774=ARO:3000419@ARO:3000662#ARO:3000662	norfloxacin	4539	BAN04737.1	AB734053	Citrobacter braakii	57706
ARO:3002774	QnrB61	ARO:3002774=ARO:3000419@ARO:3000666#ARO:3000666	sparfloxacin	60464	BAN04737.1	AB734053	Citrobacter braakii	57706
ARO:3002773	QnrB60	ARO:3002773=ARO:3000419@ARO:0000036#ARO:0000036	ciprofloxacin	2764	BAN04743.1	AB734055	Citrobacter freundii	546
ARO:3002773	QnrB60	ARO:3002773=ARO:3000419@ARO:0000071#ARO:0000071	levofloxacin	149096	BAN04743.1	AB734055	Citrobacter freundii	546
ARO:3002773	QnrB60	ARO:3002773=ARO:3000419@ARO:0000074#ARO:0000074	moxifloxacin	152946	BAN04743.1	AB734055	Citrobacter freundii	546
ARO:3002773	QnrB60	ARO:3002773=ARO:3000419@ARO:3000659#ARO:3000659	gatifloxacin	5379	BAN04743.1	AB734055	Citrobacter freundii	546
ARO:3002773	QnrB60	ARO:3002773=ARO:3000419@ARO:3000661#ARO:3000661	nalidixic acid	4421	BAN04743.1	AB734055	Citrobacter freundii	546
ARO:3002773	QnrB60	ARO:3002773=ARO:3000419@ARO:3000662#ARO:3000662	norfloxacin	4539	BAN04743.1	AB734055	Citrobacter freundii	546
ARO:3002773	QnrB60	ARO:3002773=ARO:3000419@ARO:3000666#ARO:3000666	sparfloxacin	60464	BAN04743.1	AB734055	Citrobacter freundii	546
ARO:3004106	TMB-2	ARO:3004106@ARO:0000060#ARO:0000060	ceftazidime	5481173	BAM73613.1	AB758278	Acinetobacter courvalinii	280147
ARO:3000785	cmeC	ARO:3000785@ARO:0000006#ARO:0000006	erythromycin	12560	BAO79432.1	AB894099	Campylobacter jejuni subsp. jejuni	32022
ARO:3000785	cmeC	ARO:3000785@ARO:3000645#ARO:3000645	cefotaxime	5742673	BAO79432.1	AB894099	Campylobacter jejuni subsp. jejuni	32022
ARO:3000785	cmeC	ARO:3000785@ARO:3000759#ARO:3000759	fusidic acid	3000226	BAO79432.1	AB894099	Campylobacter jejuni subsp. jejuni	32022
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003199	AAC(6')-Iak	ARO:3003199=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	BAO21229.1	AB894482	Stenotrophomonas maltophilia	40324
ARO:3003210	FosA4	ARO:3003210=ARO:3000133@ARO:0000025#ARO:0000025	fosfomycin	73491	BAP18892.1	AB908992	Escherichia coli	562
ARO:3003207	FosK	ARO:3003207=ARO:3000133@ARO:0000025#ARO:0000025	fosfomycin	73491	BAO79518.1	AB917040	Acinetobacter soli	487316
ARO:3003395	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	ARO:3003395@ARO:0000040#ARO:0000040	streptomycin	19649	AAK44936.1	AE000516	Mycobacterium tuberculosis CDC1551	83331
ARO:3003445	Mycobacterium tuberculosis tlyA mutations conferring resistance to aminoglycosides	ARO:3003445@ARO:0000040#ARO:0000040	streptomycin	19649	AAK46002.1	AE000516	Mycobacterium tuberculosis CDC1551	83331
ARO:3003458	Mycobacterium tuberculosis ethA with mutation conferring resistance to ethionamide	ARO:3003458@ARO:3003474#ARO:3003474	ethionamide	2761171	AAK48336.1	AE000516	Mycobacterium tuberculosis CDC1551	83331
ARO:3003465	Mycobacterium tuberculosis embB mutants conferring resistance to rifampicin	ARO:3003465@ARO:3000169#ARO:3000169	rifampin	5381226	AAK48268.1	AE000516	Mycobacterium tuberculosis CDC1551	83331
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:0000023#ARO:0000023	enoxacin	3229	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:0000036#ARO:0000036	ciprofloxacin	2764	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:0000071#ARO:0000071	levofloxacin	149096	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:0000074#ARO:0000074	moxifloxacin	152946	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000659#ARO:3000659	gatifloxacin	5379	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000660#ARO:3000660	lomefloxacin	3948	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000661#ARO:3000661	nalidixic acid	4421	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000662#ARO:3000662	norfloxacin	4539	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000663#ARO:3000663	ofloxacin	4583	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000664#ARO:3000664	trovafloxacin	62959	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000665#ARO:3000665	grepafloxacin	72474	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000666#ARO:3000666	sparfloxacin	60464	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	ARO:3003311@ARO:3000762#ARO:3000762	pefloxacin	51081	AAK74984.1	AE005672	Streptococcus pneumoniae TIGR4	170187
ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	ARO:3003387@ARO:3000324#ARO:3000324	sulfadiazine	5215	AAL97684.1	AE009949	Streptococcus pyogenes MGAS8232	186103
ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	ARO:3003387@ARO:3000325#ARO:3000325	sulfadimidine	5327	AAL97684.1	AE009949	Streptococcus pyogenes MGAS8232	186103
ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	ARO:3003387@ARO:3000327#ARO:3000327	sulfadoxine	17134	AAL97684.1	AE009949	Streptococcus pyogenes MGAS8232	186103
ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	ARO:3003387@ARO:3000329#ARO:3000329	sulfamethoxazole	5329	AAL97684.1	AE009949	Streptococcus pyogenes MGAS8232	186103
ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	ARO:3003387@ARO:3000330#ARO:3000330	sulfisoxazole	5344	AAL97684.1	AE009949	Streptococcus pyogenes MGAS8232	186103
ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	ARO:3003387@ARO:3000683#ARO:3000683	sulfacetamide	5320	AAL97684.1	AE009949	Streptococcus pyogenes MGAS8232	186103
ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	ARO:3003387@ARO:3000684#ARO:3000684	mafenide	3998	AAL97684.1	AE009949	Streptococcus pyogenes MGAS8232	186103
